N,radius,distance,ratio,density,,id,circlecount,size (radius),time (ns),overlap (square units),nancount,Time,,Difference,Increase
792,0.03304013984,0.06833818279,30.26621573,0.8645874657,,Packomania Equal (792),792,30.54502822,188690979,1.34E-19,0,0s:188ms,,0.2788124915,0.92%
793,0.03302361028,0.06830282649,30.2813651,0.864813157,,Packomania Equal (793),793,30.55640837,193324163,1.18E-19,0,0s:193ms,,0.2750432660,0.91%
794,0.03300036364,0.06825310454,30.30269639,0.8646850561,,Packomania Equal (794),794,30.59905322,188479261,1.35E-19,0,0s:188ms,,0.2963568324,0.98%
795,0.03297315088,0.06819490258,30.32770522,0.8643467999,,Packomania Equal (795),795,30.59976036,189085909,1.19E-19,0,0s:189ms,,0.2720551404,0.90%
796,0.0329510207,0.0681475735,30.34807356,0.8642727329,,Packomania Equal (796),796,30.63006629,185831537,1.20E-19,0,0s:185ms,,0.2819927308,0.93%
797,0.03292119376,0.06808378707,30.37556922,0.8637925839,,Packomania Equal (797),797,30.63006629,193119737,1.37E-19,0,0s:193ms,,0.2544970673,0.84%
798,0.03290477232,0.06804867065,30.39072844,0.864013785,,Packomania Equal (798),798,30.67427337,200024804,1.20E-19,0,0s:200ms,,0.2835449263,0.93%
799,0.03288485475,0.06800607955,30.40913538,0.8640495238,,Packomania Equal (799),799,30.67427337,196689527,1.38E-19,0,0s:196ms,,0.2651379899,0.87%
800,0.03287179862,0.06797816168,30.42121338,0.8644441157,,Packomania Equal (800),800,30.67818507,187525967,1.20E-19,0,0s:187ms,,0.2569716883,0.84%
801,0.03284483952,0.06792051754,30.44618316,0.8641055699,,Packomania Equal (801),801,30.67818507,192413731,1.40E-19,0,0s:192ms,,0.2320019027,0.76%
802,0.03282979032,0.06788834062,30.46013972,0.864391696,,Packomania Equal (802),802,30.67818507,194289435,1.20E-19,0,0s:194ms,,0.2180453470,0.72%
803,0.03279421033,0.06781227051,30.49318737,0.8635945654,,Packomania Equal (803),803,30.67818507,200639785,1.40E-19,0,0s:200ms,,0.1849977007,0.61%
804,0.03278497536,0.06779252704,30.50177678,0.8641831057,,Packomania Equal (804),804,30.73548697,190466733,1.20E-19,0,0s:190ms,,0.2337101883,0.77%
805,0.03278159046,0.06778529055,30.50492627,0.8650793018,,Packomania Equal (805),805,30.73548697,197680657,1.41E-19,0,0s:197ms,,0.2305606954,0.76%
806,0.03273921385,0.06769469893,30.54441088,0.8639160358,,Packomania Equal (806),806,30.73548697,196822503,1.20E-19,0,0s:196ms,,0.1910760823,0.63%
807,0.03273062934,0.06767634814,30.552422,0.8645343362,,Packomania Equal (807),807,30.73548697,186819252,1.41E-19,0,0s:186ms,,0.1830649631,0.60%
808,0.03271502476,0.06764299166,30.56699506,0.8647804586,,Packomania Equal (808),808,30.74332866,198137324,1.20E-19,0,0s:198ms,,0.1763336079,0.58%
809,0.03268979821,0.06758906946,30.59058345,0.8645159317,,Packomania Equal (809),809,30.74332866,189574551,1.41E-19,0,0s:189ms,,0.1527452163,0.50%
810,0.03267785268,0.06756353666,30.60176597,0.8649520652,,Packomania Equal (810),810,30.77681777,201955988,1.41E-19,0,0s:201ms,,0.1750518036,0.57%
811,0.03267005911,0.06754687875,30.60906613,0.8656068704,,Packomania Equal (811),811,30.79708735,194397291,1.20E-19,0,0s:194ms,,0.1880212186,0.61%
812,0.03264150022,0.06748583949,30.63584679,0.8651596399,,Packomania Equal (812),812,30.86636905,191838109,1.41E-19,0,0s:191ms,,0.2305222513,0.75%
813,0.03263119931,0.0674638241,30.64551782,0.8656784718,,Packomania Equal (813),813,30.86636905,195942742,1.42E-19,0,0s:195ms,,0.2208512215,0.72%
814,0.03261636125,0.06743211266,30.65945929,0.8659551955,,Packomania Equal (814),814,30.86636905,203125607,1.21E-19,0,0s:203ms,,0.2069097584,0.67%
815,0.03258928804,0.06737425509,30.68492932,0.8655802815,,Packomania Equal (815),815,30.86636905,194894745,1.42E-19,0,0s:194ms,,0.1814397311,0.59%
816,0.03257984774,0.0673540812,30.69382054,0.8661403268,,Packomania Equal (816),816,30.86636905,209362296,1.22E-19,0,0s:209ms,,0.1725485016,0.56%
817,0.03258112696,0.06735681485,30.69261543,0.8672698741,,Packomania Equal (817),817,30.86636905,194971365,1.22E-19,0,0s:194ms,,0.1737536136,0.57%
818,0.03254174887,0.06727266801,30.72975592,0.8662337131,,Packomania Equal (818),818,30.93103448,206445768,1.43E-19,0,0s:206ms,,0.2012785620,0.65%
819,0.03253320393,0.06725440928,30.73782718,0.8668372643,,Packomania Equal (819),819,30.93752175,203128806,1.44E-19,0,0s:203ms,,0.1996945691,0.65%
820,0.03250268298,0.06718919506,30.76669088,0.8662680086,,Packomania Equal (820),820,30.95359671,204095334,1.23E-19,0,0s:204ms,,0.1869058239,0.61%
821,0.03248091168,0.06714267878,30.78731317,0.866162901,,Packomania Equal (821),821,31.06382868,198799709,1.23E-19,0,0s:198ms,,0.2765155106,0.90%
822,0.03247638263,0.06713300233,30.79160667,0.8669760824,,Packomania Equal (822),822,31.06382868,198347251,1.44E-19,0,0s:198ms,,0.2722220121,0.88%
823,0.03247260094,0.06712492271,30.79519259,0.8678286552,,Packomania Equal (823),823,31.06382868,204073192,1.44E-19,0,0s:204ms,,0.2686360881,0.87%
824,0.03243670142,0.06704822613,30.82927536,0.8669630296,,Packomania Equal (824),824,31.06382868,196840522,1.23E-19,0,0s:196ms,,0.2345533176,0.76%
825,0.03241175301,0.06699492911,30.85300569,0.8666804298,,Packomania Equal (825),825,31.07962536,205239629,1.44E-19,0,0s:205ms,,0.2266196713,0.73%
826,0.03239595454,0.06696118043,30.86805171,0.8668852409,,Packomania Equal (826),826,31.07962536,206861173,1.45E-19,0,0s:206ms,,0.2115736467,0.69%
827,0.03237432125,0.06691496921,30.88867848,0.8667759513,,Packomania Equal (827),827,31.09148717,195076399,1.24E-19,0,0s:195ms,,0.2028086901,0.66%
828,0.03235971948,0.06688377929,30.90261647,0.8670413963,,Packomania Equal (828),828,31.09148717,195665356,1.24E-19,0,0s:195ms,,0.1888707024,0.61%
829,0.03234026902,0.06684223387,30.92120227,0.8670452974,,Packomania Equal (829),829,31.09614494,209304448,1.47E-19,0,0s:209ms,,0.1749426655,0.57%
830,0.03231872806,0.06679622516,30.94181176,0.8669351523,,Packomania Equal (830),830,31.13285519,201098054,1.24E-19,0,0s:201ms,,0.1910434304,0.62%
831,0.03230830648,0.06677396674,30.95179255,0.8674199608,,Packomania Equal (831),831,31.13285519,205850188,1.47E-19,0,0s:205ms,,0.1810626358,0.58%
832,0.03228251482,0.06671888298,30.97652105,0.8670777552,,Packomania Equal (832),832,31.17688897,195882192,1.26E-19,0,0s:195ms,,0.2003679236,0.65%
833,0.03226788796,0.0666876454,30.99056254,0.8673334224,,Packomania Equal (833),833,31.17688897,208157797,1.47E-19,0,0s:208ms,,0.1863264313,0.60%
834,0.03224716069,0.06664338121,31.01048212,0.8672593969,,Packomania Equal (834),834,31.20475716,199905505,1.26E-19,0,0s:199ms,,0.1942750463,0.63%
835,0.03222728801,0.06660094383,31.02960446,0.8672294074,,Packomania Equal (835),835,31.2654919,209770477,1.28E-19,0,0s:209ms,,0.2358874374,0.76%
836,0.03220007786,0.06654284036,31.05582553,0.8668024319,,Packomania Equal (836),836,31.2654919,209933192,1.48E-19,0,0s:209ms,,0.2096663733,0.68%
837,0.03218353495,0.0665075169,31.07178877,0.8669477947,,Packomania Equal (837),837,31.2654919,209041813,1.48E-19,0,0s:209ms,,0.1937031277,0.62%
838,0.03216753758,0.06647335945,31.08724121,0.8671208973,,Packomania Equal (838),838,31.2654919,207144088,1.48E-19,0,0s:207ms,,0.1782506890,0.57%
839,0.03214380268,0.06642268297,31.11019595,0.8668749786,,Packomania Equal (839),839,31.2654919,206830622,1.28E-19,0,0s:206ms,,0.1552959492,0.50%
840,0.03213279054,0.06639917175,31.12085764,0.8673136312,,Packomania Equal (840),840,31.2654919,207684080,1.28E-19,0,0s:207ms,,0.1446342564,0.46%
841,0.03211192986,0.06635463512,31.14107449,0.8672190493,,Packomania Equal (841),841,31.2654919,206345867,1.48E-19,0,0s:206ms,,0.1244174085,0.40%
842,0.03209524684,0.06631901896,31.15726154,0.8673483001,,Packomania Equal (842),842,31.2654919,209474457,1.52E-19,0,0s:209ms,,0.1082303571,0.35%
843,0.03207497927,0.06627575191,31.17694922,0.8672820207,,Packomania Equal (843),843,31.2654919,206559318,1.58E-19,0,0s:206ms,,0.0885426772,0.28%
844,0.03205892372,0.06624147793,31.19256307,0.867441754,,Packomania Equal (844),844,31.2654919,219098558,1.58E-19,0,0s:219ms,,0.0729288339,0.23%
845,0.03204296975,0.06620742192,31.20809362,0.8676053644,,Packomania Equal (845),845,31.2654919,206635095,1.31E-19,0,0s:206ms,,0.0573982776,0.18%
846,0.03202962582,0.06617893827,31.22109529,0.867908803,,Packomania Equal (846),846,31.2654919,206407552,1.31E-19,0,0s:206ms,,0.0443966074,0.14%
847,0.03202961718,0.06617891982,31.22110372,0.8689342309,,Packomania Equal (847),847,31.2654919,214985377,1.58E-19,0,0s:214ms,,0.0443881799,0.14%
848,0.0319365691,0.06598032335,31.31206727,0.86491289,,Packomania Equal (848),848,31.52543785,213788313,1.31E-19,0,0s:213ms,,0.2133705735,0.68%
849,0.03192076788,0.06594660193,31.32756718,0.8650761732,,Packomania Equal (849),849,31.52543785,232445008,1.58E-19,0,0s:232ms,,0.1978706701,0.63%
850,0.03189260068,0.06588649298,31.35523534,0.8645672816,,Packomania Equal (850),850,31.54653575,223278003,1.32E-19,0,0s:223ms,,0.1913004157,0.61%
851,0.0318755444,0.06585009648,31.37201321,0.8646588316,,Packomania Equal (851),851,31.56514597,215464088,1.58E-19,0,0s:215ms,,0.1931327619,0.62%
852,0.03186215022,0.06582151546,31.38520134,0.8649475175,,Packomania Equal (852),852,31.61567731,215142568,1.32E-19,0,0s:215ms,,0.2304759645,0.73%
853,0.03184304495,0.06578074925,31.40403192,0.8649245234,,Packomania Equal (853),853,31.6691757,227394776,1.59E-19,0,0s:227ms,,0.2651437778,0.84%
854,0.03183281023,0.0657589114,31.41412878,0.8653819472,,Packomania Equal (854),854,31.7342629,221734196,1.34E-19,0,0s:221ms,,0.3201341204,1.02%
855,0.03181589988,0.06572283075,31.43082559,0.8654750196,,Packomania Equal (855),855,31.7342629,221354650,1.59E-19,0,0s:221ms,,0.3034373114,0.97%
856,0.03180614908,0.06570202662,31.44046132,0.8659562382,,Packomania Equal (856),856,31.7342629,229036231,1.34E-19,0,0s:229ms,,0.2938015803,0.93%
857,0.03178466432,0.06565618856,31.46171342,0.8657970074,,Packomania Equal (857),857,31.75949457,222191804,1.59E-19,0,0s:222ms,,0.2977811494,0.95%
858,0.03176782322,0.06562025923,31.47839224,0.86588896,,Packomania Equal (858),858,31.76782982,233091387,1.36E-19,0,0s:233ms,,0.2894375757,0.92%
859,0.03175020312,0.06558266932,31.49586149,0.8659367672,,Packomania Equal (859),859,31.77553025,210686592,1.36E-19,0,0s:210ms,,0.2796687545,0.89%
860,0.03173451154,0.06554919475,31.51143508,0.8660881313,,Packomania Equal (860),860,31.78271508,229217693,1.36E-19,0,0s:229ms,,0.2712800045,0.86%
861,0.03171178093,0.0655007059,31.53402208,0.8658534999,,Packomania Equal (861),861,31.78853495,224985981,1.61E-19,0,0s:224ms,,0.2545128717,0.81%
862,0.03168935875,0.06545287721,31.55633435,0.8656337249,,Packomania Equal (862),862,31.85188995,219883566,1.36E-19,0,0s:219ms,,0.2955556046,0.94%
863,0.03167245161,0.0654168141,31.5731795,0.8657134368,,Packomania Equal (863),863,31.85188995,219566124,1.61E-19,0,0s:219ms,,0.2787104480,0.88%
864,0.03165764651,0.06538523569,31.58794511,0.8659064871,,Packomania Equal (864),864,31.85188995,221273556,1.36E-19,0,0s:221ms,,0.2639448453,0.84%
865,0.03163481658,0.0653365427,31.61074121,0.8656588013,,Packomania Equal (865),865,31.86712544,221349638,1.36E-19,0,0s:221ms,,0.2563842321,0.81%
866,0.03161472147,0.06529368459,31.63083379,0.8655588714,,Packomania Equal (866),866,31.86712544,224486162,1.62E-19,0,0s:224ms,,0.2362916537,0.75%
867,0.03160205666,0.06526667447,31.64351013,0.8658642172,,Packomania Equal (867),867,31.86712544,228408184,1.63E-19,0,0s:228ms,,0.2236153120,0.71%
868,0.03158832716,0.06523739448,31.65726361,0.8661098543,,Packomania Equal (868),868,31.89169848,221221150,1.63E-19,0,0s:221ms,,0.2344348635,0.74%
869,0.03157615265,0.06521143141,31.6694694,0.8664394186,,Packomania Equal (869),869,31.89169848,217135071,1.36E-19,0,0s:217ms,,0.2222290784,0.70%
870,0.031564887,0.06518740714,31.68077237,0.8668176194,,Packomania Equal (870),870,31.89169848,223897167,1.64E-19,0,0s:223ms,,0.2109261030,0.67%
871,0.03154505164,0.06514510911,31.70069307,0.8667236364,,Packomania Equal (871),871,31.93447928,224179374,1.36E-19,0,0s:224ms,,0.2337862057,0.74%
872,0.03153287626,0.06511914651,31.71293325,0.8670490327,,Packomania Equal (872),872,31.93447928,227268071,1.64E-19,0,0s:227ms,,0.2215460292,0.70%
873,0.03151617668,0.06508353763,31.72973708,0.8671241797,,Packomania Equal (873),873,31.94156049,231455650,1.64E-19,0,0s:231ms,,0.2118234013,0.67%
874,0.03149371513,0.06503564431,31.75236697,0.8668804769,,Packomania Equal (874),874,31.99407789,235073609,1.39E-19,0,0s:235ms,,0.2417109177,0.76%
875,0.03147295847,0.06499138821,31.7733079,0.8667287256,,Packomania Equal (875),875,32.00016743,227705343,1.64E-19,0,0s:227ms,,0.2268595303,0.71%
876,0.0314561475,0.06495554625,31.79028837,0.8667925529,,Packomania Equal (876),876,32.00744983,229786445,1.39E-19,0,0s:229ms,,0.2171614666,0.68%
877,0.03144104944,0.06492335736,31.80555414,0.8669492201,,Packomania Equal (877),877,32.02970942,230025231,1.72E-19,0,0s:230ms,,0.2241552787,0.70%
878,0.0314222438,0.06488326537,31.82458918,0.8668998017,,Packomania Equal (878),878,32.02970942,224117452,1.39E-19,0,0s:224ms,,0.2051202347,0.64%
879,0.03141029568,0.06485779383,31.8366949,0.8672272668,,Packomania Equal (879),879,32.0309306,225241347,1.72E-19,0,0s:225ms,,0.1942357056,0.61%
880,0.03139361216,0.06482222822,31.85361388,0.8672918185,,Packomania Equal (880),880,32.04702079,222903769,1.74E-19,0,0s:222ms,,0.1934069155,0.61%
881,0.03137353724,0.06477943449,31.87399598,0.8671672773,,Packomania Equal (881),881,32.05786986,223359497,1.42E-19,0,0s:223ms,,0.1838738789,0.58%
882,0.0313589694,0.06474838131,31.88880308,0.8673455364,,Packomania Equal (882),882,32.11031159,225223934,1.74E-19,0,0s:225ms,,0.2215085152,0.69%
883,0.03133879063,0.06470536928,31.909336,0.8672117816,,Packomania Equal (883),883,32.1408596,223058921,1.74E-19,0,0s:223ms,,0.2315235960,0.73%
884,0.03131265547,0.06464966359,31.93596918,0.8667464352,,Packomania Equal (884),884,32.15717764,228466450,1.74E-19,0,0s:228ms,,0.2212084655,0.69%
885,0.03129712165,0.0646165555,31.95182008,0.866866194,,Packomania Equal (885),885,32.15717764,231874311,1.43E-19,0,0s:231ms,,0.2053575637,0.64%
886,0.03127831357,0.06457647024,31.97103314,0.8668029495,,Packomania Equal (886),886,32.15717764,228793721,1.43E-19,0,0s:228ms,,0.1861444973,0.58%
887,0.03125645977,0.06452989562,31.99338657,0.8665690878,,Packomania Equal (887),887,32.22755984,230854753,1.75E-19,0,0s:230ms,,0.2341732777,0.73%
888,0.03124110586,0.06449717479,32.00911019,0.8666939456,,Packomania Equal (888),888,32.22755984,237694111,1.43E-19,0,0s:237ms,,0.2184496544,0.68%
889,0.03122026703,0.06445276664,32.03047556,0.8665128102,,Packomania Equal (889),889,32.22755984,220944868,1.44E-19,0,0s:220ms,,0.1970842863,0.62%
890,0.03120295864,0.06441588343,32.04824297,0.866525919,,Packomania Equal (890),890,32.23994446,229926875,1.77E-19,0,0s:229ms,,0.1917014915,0.60%
891,0.03118314419,0.06437366155,32.06860713,0.866398137,,Packomania Equal (891),891,32.23994446,222185397,1.45E-19,0,0s:222ms,,0.1713373357,0.53%
892,0.03116383744,0.06433252318,32.0884744,0.8662968097,,Packomania Equal (892),892,32.24897569,224546030,1.46E-19,0,0s:224ms,,0.1605012906,0.50%
893,0.03114329546,0.0642887546,32.10963982,0.8661250329,,Packomania Equal (893),893,32.28084199,232342650,1.79E-19,0,0s:232ms,,0.1712021660,0.53%
894,0.03112083067,0.06424089123,32.13281839,0.8658444547,,Packomania Equal (894),894,32.32283512,236283708,1.46E-19,0,0s:236ms,,0.1900167310,0.59%
895,0.03110499805,0.06420715969,32.14917417,0.8659312091,,Packomania Equal (895),895,32.32283512,224800857,1.46E-19,0,0s:224ms,,0.1736609516,0.54%
896,0.03108861789,0.06417226275,32.16611312,0.8659859377,,Packomania Equal (896),896,32.32283512,228254038,1.46E-19,0,0s:228ms,,0.1567219991,0.49%
897,0.03107119563,0.06413514696,32.18414933,0.8659810204,,Packomania Equal (897),897,32.37010254,228998255,1.46E-19,0,0s:228ms,,0.1859532090,0.58%
898,0.03104966218,0.06408927469,32.20646956,0.8657452064,,Packomania Equal (898),898,32.37010254,225392538,1.87E-19,0,0s:225ms,,0.1636329756,0.51%
899,0.03102877588,0.06404478298,32.2281486,0.8655436545,,Packomania Equal (899),899,32.42027288,245949093,1.46E-19,0,0s:245ms,,0.1921242749,0.60%
900,0.03102402454,0.064034662,32.23308435,0.8662410888,,Packomania Equal (900),900,32.42027288,228424857,1.87E-19,0,0s:228ms,,0.1871885214,0.58%
901,0.03102269863,0.06403183766,32.234462,0.867129455,,Packomania Equal (901),901,32.47765835,235408158,1.46E-19,0,0s:235ms,,0.2431963516,0.75%
902,0.03099472763,0.06397225798,32.26355178,0.8665271733,,Packomania Equal (902),902,32.47765835,230166547,1.87E-19,0,0s:230ms,,0.2141065676,0.66%
903,0.03098593616,0.0639535324,32.27270574,0.8669958006,,Packomania Equal (903),903,32.52546296,232025472,1.87E-19,0,0s:232ms,,0.2527572147,0.78%
904,0.03097001612,0.06391962403,32.28929543,0.8670642762,,Packomania Equal (904),904,32.54297785,232787897,1.47E-19,0,0s:232ms,,0.2536824203,0.79%
905,0.03095982823,0.06389792525,32.29992081,0.8674524225,,Packomania Equal (905),905,32.54297785,232021518,1.47E-19,0,0s:232ms,,0.2430570462,0.75%
906,0.03095346083,0.06388436382,32.30656518,0.8680537642,,Packomania Equal (906),906,32.56854627,230400389,1.47E-19,0,0s:230ms,,0.2619810884,0.81%
907,0.03094137767,0.0638586293,32.31918148,0.8683335488,,Packomania Equal (907),907,32.62263209,246854003,1.91E-19,0,0s:246ms,,0.3034506116,0.94%
908,0.03092057427,0.06381432409,32.34092586,0.8681223772,,Packomania Equal (908),908,32.6354315,231639045,1.48E-19,0,0s:231ms,,0.2945056425,0.91%
909,0.03090357523,0.06377812246,32.35871554,0.8681231442,,Packomania Equal (909),909,32.6354315,232250698,1.50E-19,0,0s:232ms,,0.2767159581,0.86%
910,0.03089649981,0.06376305482,32.36612582,0.8686802672,,Packomania Equal (910),910,32.66989681,232335870,1.92E-19,0,0s:232ms,,0.3037709903,0.94%
911,0.030890835,0.06375099135,32.37206117,0.8693159987,,Packomania Equal (911),911,32.66989681,241230648,1.92E-19,0,0s:241ms,,0.2978356396,0.92%
912,0.03088187267,0.06373190595,32.38145596,0.8697653345,,Packomania Equal (912),912,32.70615082,239549337,1.54E-19,0,0s:239ms,,0.3246948590,1.00%
913,0.03088066692,0.06372933831,32.38272031,0.8706510332,,Packomania Equal (913),913,32.70615082,237941410,1.92E-19,0,0s:237ms,,0.3234305094,1.00%
914,0.03079476069,0.06354641811,32.47305638,0.8667619992,,Packomania Equal (914),914,32.70615082,242469480,1.92E-19,0,0s:242ms,,0.2330944423,0.72%
915,0.03078256327,0.06352044878,32.48592364,0.8670230746,,Packomania Equal (915),915,32.70615082,236369966,1.54E-19,0,0s:236ms,,0.2202271812,0.68%
916,0.03077317403,0.06350045872,32.49583547,0.8674412275,,Packomania Equal (916),916,32.70615082,234855299,1.54E-19,0,0s:234ms,,0.2103153541,0.65%
917,0.03076433039,0.06348163063,32.50517685,0.8678891702,,Packomania Equal (917),917,32.70615082,237215577,1.92E-19,0,0s:237ms,,0.2009739699,0.62%
918,0.03074982137,0.06345074172,32.52051412,0.8680162903,,Packomania Equal (918),918,32.70615082,232502863,1.54E-19,0,0s:232ms,,0.1856367074,0.57%
919,0.03073242532,0.06341370767,32.53892232,0.8679789265,,Packomania Equal (919),919,32.77288901,232298182,1.54E-19,0,0s:232ms,,0.2339666890,0.72%
920,0.03072295497,0.06339354703,32.54895244,0.8683879651,,Packomania Equal (920),920,32.78388285,245673674,1.92E-19,0,0s:245ms,,0.2349304186,0.72%
921,0.03070733393,0.06336029355,32.56551032,0.8684480687,,Packomania Equal (921),921,32.78574104,238789207,1.92E-19,0,0s:238ms,,0.2202307150,0.68%
922,0.03069390957,0.06333171713,32.57975325,0.8686310299,,Packomania Equal (922),922,32.79859878,240926875,1.92E-19,0,0s:240ms,,0.2188455316,0.67%
923,0.03066614321,0.06327261346,32.60925226,0.8680005895,,Packomania Equal (923),923,32.79859878,239821262,1.59E-19,0,0s:239ms,,0.1893465199,0.58%
924,0.03064853128,0.0632351263,32.62799091,0.8679432017,,Packomania Equal (924),924,32.85512311,245465574,1.59E-19,0,0s:245ms,,0.2271322001,0.70%
925,0.03064711867,0.06323211961,32.62949482,0.8688024415,,Packomania Equal (925),925,32.85512311,242989644,1.59E-19,0,0s:242ms,,0.2256282884,0.69%
926,0.03062245334,0.06317962171,32.65577675,0.8683422848,,Packomania Equal (926),926,32.88314104,246244744,1.60E-19,0,0s:246ms,,0.2273642864,0.70%
927,0.03061250631,0.0631584511,32.66638771,0.868715378,,Packomania Equal (927),927,32.88404691,241059052,1.93E-19,0,0s:241ms,,0.2176591952,0.67%
928,0.03060214181,0.06313639246,32.67745134,0.8690637256,,Packomania Equal (928),928,32.88404691,237099840,1.93E-19,0,0s:237ms,,0.2065955701,0.63%
929,0.03059225997,0.06311536148,32.68800674,0.8694384376,,Packomania Equal (929),929,32.89079936,249391809,1.62E-19,0,0s:249ms,,0.2027926234,0.62%
930,0.0305798236,0.06308889446,32.70130048,0.8696668184,,Packomania Equal (930),930,32.89079936,254171690,1.62E-19,0,0s:254ms,,0.1894988846,0.58%
931,0.03057357785,0.06307560254,32.70798089,0.8702463498,,Packomania Equal (931),931,32.89079936,246011151,1.62E-19,0,0s:246ms,,0.1828184736,0.56%
932,0.03053580069,0.06299521057,32.74844535,0.8690295354,,Packomania Equal (932),932,32.959141,247901922,1.93E-19,0,0s:247ms,,0.2106956561,0.64%
933,0.03052067794,0.06296303026,32.76467193,0.8691004927,,Packomania Equal (933),933,32.9807542,252271004,1.63E-19,0,0s:252ms,,0.2160822616,0.66%
934,0.03050263809,0.06292464382,32.7840496,0.869003809,,Packomania Equal (934),934,33.02233119,243103068,1.63E-19,0,0s:243ms,,0.2382815937,0.73%
935,0.03048123944,0.06287911216,32.80706488,0.8687140706,,Packomania Equal (935),935,33.03184978,244669782,1.93E-19,0,0s:244ms,,0.2247849019,0.69%
936,0.03045683247,0.06282718189,32.83335524,0.8682510508,,Packomania Equal (936),936,33.04146397,240146737,1.94E-19,0,0s:240ms,,0.2081087308,0.63%
937,0.03043291704,0.06277630001,32.85915704,0.8678142057,,Packomania Equal (937),937,33.04146397,252670715,1.63E-19,0,0s:252ms,,0.1823069371,0.55%
938,0.0304112387,0.06273017987,32.88258035,0.8675031458,,Packomania Equal (938),938,33.09418245,246087331,1.94E-19,0,0s:246ms,,0.2116020966,0.64%
939,0.0304006802,0.06270771767,32.89400084,0.8678250738,,Packomania Equal (939),939,33.09418245,246619299,1.63E-19,0,0s:246ms,,0.2001816064,0.61%
940,0.03038191373,0.06266779501,32.91431898,0.8676770412,,Packomania Equal (940),940,33.11875264,245024773,1.63E-19,0,0s:245ms,,0.2044336572,0.62%
941,0.03035508696,0.06261072801,32.94340752,0.8670668574,,Packomania Equal (941),941,33.18695388,254455960,1.94E-19,0,0s:254ms,,0.2435463590,0.74%
942,0.03033193754,0.06256148617,32.96855002,0.8666649016,,Packomania Equal (942),942,33.18695388,264172394,1.66E-19,0,0s:264ms,,0.2184038573,0.66%
943,0.0303229954,0.0625424657,32.97827232,0.8670734592,,Packomania Equal (943),943,33.18695388,252789664,1.95E-19,0,0s:252ms,,0.2086815540,0.63%
944,0.03028371874,0.06245892602,33.02104371,0.8657458178,,Packomania Equal (944),944,33.18695388,246175913,1.67E-19,0,0s:246ms,,0.1659101724,0.50%
945,0.03026969125,0.06242909184,33.03634621,0.8658602271,,Packomania Equal (945),945,33.18695388,248390130,1.95E-19,0,0s:248ms,,0.1506076651,0.46%
946,0.03025217849,0.06239184625,33.05547071,0.8657738109,,Packomania Equal (946),946,33.18695388,251350117,1.95E-19,0,0s:251ms,,0.1314831674,0.40%
947,0.03022817406,0.06234079656,33.08172032,0.8653141539,,Packomania Equal (947),947,33.18695388,250594122,1.67E-19,0,0s:250ms,,0.1052335549,0.32%
948,0.03021727835,0.06231762575,33.09364888,0.8656035476,,Packomania Equal (948),948,33.18695388,246307434,1.95E-19,0,0s:246ms,,0.0933049947,0.28%
949,0.03020454624,0.0622905503,33.10759883,0.8657865685,,Packomania Equal (949),949,33.18695388,261816883,1.70E-19,0,0s:261ms,,0.0793550457,0.24%
950,0.03019030575,0.06226026803,33.12321539,0.8658818333,,Packomania Equal (950),950,33.18695388,263410401,1.95E-19,0,0s:263ms,,0.0637384926,0.19%
951,0.03017749339,0.06223302344,33.1372784,0.8660577333,,Packomania Equal (951),951,33.18695388,257014466,1.70E-19,0,0s:257ms,,0.0496754801,0.15%
952,0.03016386929,0.06220405352,33.1522455,0.8661857781,,Packomania Equal (952),952,33.18695388,264294786,1.95E-19,0,0s:264ms,,0.0347083782,0.10%
953,0.03014557679,0.06216515813,33.17236247,0.8660442774,,Packomania Equal (953),953,33.18695388,245490957,1.70E-19,0,0s:245ms,,0.0145914131,0.04%
954,0.03013679312,0.06214648191,33.18203088,0.8664478898,,Packomania Equal (954),954,33.18695388,251158570,1.95E-19,0,0s:251ms,,0.0049229980,0.01%
955,0.03014152075,0.06215653396,33.17682635,0.8676282659,,Packomania Equal (955),955,33.18695388,253713535,1.71E-19,0,0s:253ms,,0.0101275242,0.03%
956,0.03010778587,0.06208480784,33.214,0.8665937041,,Packomania Equal (956),956,33.46375389,254826990,1.99E-19,0,0s:254ms,,0.2497538886,0.75%
957,0.03009460673,0.06205678809,33.2285452,0.866740884,,Packomania Equal (957),957,33.46658438,257480843,1.72E-19,0,0s:257ms,,0.2380391841,0.72%
958,0.0300762724,0.06201780932,33.24880114,0.8665897105,,Packomania Equal (958),958,33.48417047,267467020,1.99E-19,0,0s:267ms,,0.2353693275,0.71%
959,0.03007226767,0.06200929548,33.25322888,0.8672632904,,Packomania Equal (959),959,33.54983256,254091700,1.72E-19,0,0s:254ms,,0.2966036756,0.89%
960,0.03005448495,0.06197149114,33.27290425,0.8671411829,,Packomania Equal (960),960,33.54983256,268945872,1.99E-19,0,0s:268ms,,0.2769283092,0.83%
961,0.03003267702,0.0619251315,33.29706504,0.8667851828,,Packomania Equal (961),961,33.54983256,252601832,1.72E-19,0,0s:252ms,,0.2527675171,0.76%
962,0.03001660366,0.06189096385,33.31489503,0.8667586285,,Packomania Equal (962),962,33.61033788,257416580,1.99E-19,0,0s:257ms,,0.2954428562,0.89%
963,0.0300032594,0.06186259838,33.32971217,0.8668883383,,Packomania Equal (963),963,33.61033788,251578619,1.72E-19,0,0s:251ms,,0.2806257107,0.84%
