N,radius,distance,ratio,density,,id,circlecount,size (radius),time (ns),overlap (square units),nancount,Time,,Difference,Increase
201,0.06443125002,0.1377370717,15.52041905,0.8344285818,,Packomania Equal (201),201,15.75717041,21229648,7.64E-21,0,0s:21ms,,0.2367513623,1.53%
202,0.0642267114,0.1372698114,15.56984591,0.8332642323,,Packomania Equal (202),202,15.78358344,22321127,1.15E-20,0,0s:22ms,,0.2137375281,1.37%
203,0.06405096553,0.13686849,15.61256714,0.8328128156,,Packomania Equal (203),203,15.79239044,22078025,7.66E-21,0,0s:22ms,,0.1798232911,1.15%
204,0.06388694567,0.1364940813,15.65265,0.8326345327,,Packomania Equal (204),204,15.87616468,22522967,1.18E-20,0,0s:22ms,,0.2235146782,1.43%
205,0.06365759885,0.1359707705,15.70904367,0.8307194277,,Packomania Equal (205),205,15.90805152,22618631,7.74E-21,0,0s:22ms,,0.1990078502,1.27%
206,0.0635453208,0.1357146741,15.73679993,0.8318296059,,Packomania Equal (206),206,16.02699046,22877687,7.76E-21,0,0s:22ms,,0.2901905323,1.84%
207,0.06341044855,0.1354071235,15.77027166,0.8323231921,,Packomania Equal (207),207,16.03570302,23176861,1.19E-20,0,0s:23ms,,0.2654313545,1.68%
208,0.06324316529,0.1350257889,15.8119853,0.8319371749,,Packomania Equal (208),208,16.061661,23605631,1.19E-20,0,0s:23ms,,0.2496756960,1.58%
209,0.06311430832,0.1347321426,15.84426775,0.8325339261,,Packomania Equal (209),209,16.07020607,22870014,7.79E-21,0,0s:22ms,,0.2259383216,1.43%
210,0.06297545969,0.1344158173,15.87920128,0.83284079,,Packomania Equal (210),210,16.14931768,23184376,1.23E-20,0,0s:23ms,,0.2701164021,1.70%
211,0.06288314509,0.1342055577,15.90251249,0.8343551766,,Packomania Equal (211),211,16.17516769,23294445,7.79E-21,0,0s:23ms,,0.2726551990,1.71%
212,0.06274540656,0.1338919158,15.93742163,0.8346410414,,Packomania Equal (212),212,16.20271056,24060843,1.23E-20,0,0s:24ms,,0.2652889299,1.66%
213,0.06261640274,0.1335982471,15.97025629,0.835133359,,Packomania Equal (213),213,16.25817594,23405935,7.85E-21,0,0s:23ms,,0.2879196458,1.80%
214,0.06242679202,0.1331667575,16.01876322,0.8339803335,,Packomania Equal (214),214,16.25817594,24168639,1.23E-20,0,0s:24ms,,0.2394127200,1.49%
