packo id,N,ratio,,id,circlecount,Radius,time (ns),overlap (square units),nancount,Time,,Difference,Increase
Packomania -1/2,53,2.281766324,,Packomania -1/2 (53),53,2.367760412,3962107,7.09E-23,0,0s:3ms,,0.0859940880,3.77%
Packomania -1/2,54,2.284519164,,Packomania -1/2 (54),54,2.381915573,3905978,7.98E-23,0,0s:3ms,,0.0973964091,4.26%
Packomania -1/2,55,2.285947292,,Packomania -1/2 (55),55,2.383596802,4278773,8.10E-23,0,0s:4ms,,0.0976495093,4.27%
Packomania -1/2,56,2.285979541,,Packomania -1/2 (56),56,2.383596802,4552443,1.01E-22,0,0s:4ms,,0.0976172611,4.27%
Packomania -1/2,57,2.288534442,,Packomania -1/2 (57),57,2.384328728,4264406,8.66E-23,0,0s:4ms,,0.0957942864,4.19%
Packomania -1/2,58,2.292664714,,Packomania -1/2 (58),58,2.385305153,4453678,8.69E-23,0,0s:4ms,,0.0926404388,4.04%
Packomania -1/2,59,2.296297312,,Packomania -1/2 (59),59,2.38689011,6476931,7.69E-23,0,0s:6ms,,0.0905927983,3.95%
Packomania -1/2,60,2.306501919,,Packomania -1/2 (60),60,2.407776328,4786108,9.26E-23,0,0s:4ms,,0.1012744095,4.39%
Packomania -1/2,61,2.311319628,,Packomania -1/2 (61),61,2.409449022,4971327,1.02E-22,0,0s:4ms,,0.0981293940,4.25%
Packomania -1/2,62,2.317481916,,Packomania -1/2 (62),62,2.409449022,5007953,9.30E-23,0,0s:5ms,,0.0919671063,3.97%
Packomania -1/2,63,2.318797322,,Packomania -1/2 (63),63,2.409449022,5238056,9.30E-23,0,0s:5ms,,0.0906517004,3.91%
Packomania -1/2,64,2.320980355,,Packomania -1/2 (64),64,2.409449022,5576144,1.04E-22,0,0s:5ms,,0.0884686673,3.81%
Packomania -1/2,65,2.321469818,,Packomania -1/2 (65),65,2.413031572,5347669,9.62E-23,0,0s:5ms,,0.0915617534,3.94%
