id,circlecount,size (radius),time (ns),overlap (square units),nancount,Time
Packomania -1/2 (325),325,2.705102692,83345876,2.25E-22,0,0s:83ms
Packomania -1/2 (330),330,2.707687974,83243512,2.05E-22,0,0s:83ms
Packomania -1/2 (335),335,2.711906275,88511100,2.14E-22,0,0s:88ms
Packomania -1/2 (340),340,2.712450049,86749668,2.63E-22,0,0s:86ms
Packomania -1/2 (345),345,2.712450049,88970619,2.29E-22,0,0s:88ms
Packomania -1/2 (350),350,2.718414537,91135159,2.05E-22,0,0s:91ms
Packomania -1/2 (355),355,2.725090874,96861736,2.36E-22,0,0s:96ms
Packomania -1/2 (360),360,2.727070256,99564010,2.42E-22,0,0s:99ms
Packomania -1/2 (365),365,2.727790077,103676305,2.65E-22,0,0s:103ms
Packomania -1/2 (370),370,2.731128361,104145990,2.52E-22,0,0s:104ms
Packomania -1/2 (375),375,2.731128361,101231164,2.37E-22,0,0s:101ms
Packomania -1/2 (380),380,2.731128361,103331750,2.67E-22,0,0s:103ms
Packomania -1/2 (385),385,2.731537996,109574014,2.55E-22,0,0s:109ms
Packomania -1/2 (390),390,2.735088516,110272011,2.36E-22,0,0s:110ms
Packomania -1/2 (395),395,2.743295143,113890984,2.59E-22,0,0s:113ms
Packomania -1/2 (400),400,2.739934425,121787049,2.38E-22,0,0s:121ms
Packomania -1/2 (405),405,2.740346643,116519875,2.84E-22,0,0s:116ms
Packomania -1/2 (410),410,2.739781633,125350880,2.47E-22,0,0s:125ms
Packomania -1/2 (415),415,2.744826494,123236832,3.00E-22,0,0s:123ms
Packomania -1/2 (420),420,2.745209516,132379294,2.84E-22,0,0s:132ms
Packomania -1/2 (425),425,2.74700717,131893626,2.65E-22,0,0s:131ms
Packomania -1/2 (430),430,2.749781051,136120374,2.83E-22,0,0s:136ms
Packomania -1/2 (435),435,2.750451803,144160088,2.61E-22,0,0s:144ms
Packomania -1/2 (440),440,2.750451803,139033888,2.47E-22,0,0s:139ms
Packomania -1/2 (445),445,2.757353591,144202411,2.82E-22,0,0s:144ms
Packomania -1/2 (450),450,2.758454092,146998074,2.75E-22,0,0s:146ms
Packomania -1/2 (455),455,2.759668196,144806844,3.06E-22,0,0s:144ms
Packomania -1/2 (460),460,2.762896141,146823931,2.93E-22,0,0s:146ms
Packomania -1/2 (465),465,2.76361218,148293131,3.03E-22,0,0s:148ms
Packomania -1/2 (470),470,2.763807631,153601830,2.91E-22,0,0s:153ms
Packomania -1/2 (475),475,2.763807631,148883109,3.32E-22,0,0s:148ms
Packomania -1/2 (480),480,2.764126389,159921883,2.98E-22,0,0s:159ms
Packomania -1/2 (485),485,2.769778794,159363250,3.09E-22,0,0s:159ms
Packomania -1/2 (490),490,2.771791552,162181521,2.98E-22,0,0s:162ms
Packomania -1/2 (495),495,2.771475744,166091886,2.88E-22,0,0s:166ms
Packomania -1/2 (500),500,2.773795481,170155329,3.09E-22,0,0s:170ms
Packomania -1/2 (510),510,2.780056518,171543967,2.75E-22,0,0s:171ms
Packomania -1/2 (520),520,2.784918418,188701582,2.87E-22,0,0s:188ms
Packomania -1/2 (530),530,2.787316839,191876166,3.11E-22,0,0s:191ms
Packomania -1/2 (540),540,2.790332138,191765118,3.26E-22,0,0s:191ms
Packomania -1/2 (550),550,2.791629684,193642490,3.29E-22,0,0s:193ms
Packomania -1/2 (560),560,2.793863657,204360136,3.31E-22,0,0s:204ms
Packomania -1/2 (570),570,2.79838704,210284916,3.43E-22,0,0s:210ms
Packomania -1/2 (580),580,2.800091733,220550772,3.60E-22,0,0s:220ms
Packomania -1/2 (590),590,2.803974884,226191250,3.34E-22,0,0s:226ms
Packomania -1/2 (600),600,2.80872553,232783322,3.59E-22,0,0s:232ms
Packomania -1/2 (610),610,2.810061801,237154823,3.29E-22,0,0s:237ms
Packomania -1/2 (620),620,2.810494608,240733959,3.55E-22,0,0s:240ms
Packomania -1/2 (630),630,2.813751137,255029938,3.53E-22,0,0s:255ms
Packomania -1/2 (640),640,2.815785693,264865084,3.73E-22,0,0s:264ms
Packomania -1/2 (650),650,2.816215069,263969893,3.59E-22,0,0s:263ms
Packomania -1/2 (660),660,2.825148487,269908674,3.37E-22,0,0s:269ms
Packomania -1/2 (670),670,2.823740845,274594757,3.40E-22,0,0s:274ms
Packomania -1/2 (680),680,2.825647589,297547124,3.66E-22,0,0s:297ms
Packomania -1/2 (690),690,2.830288687,291276473,3.61E-22,0,0s:291ms
Packomania -1/2 (700),700,2.832771329,306392285,3.61E-22,0,0s:306ms
Packomania -1/2 (710),710,2.833721486,297064320,3.91E-22,0,0s:297ms
Packomania -1/2 (720),720,2.836329939,312992935,3.67E-22,0,0s:312ms
Packomania -1/2 (730),730,2.841196793,323147285,3.59E-22,0,0s:323ms
Packomania -1/2 (740),740,2.844090601,336140915,3.85E-22,0,0s:336ms
Packomania -1/2 (750),750,2.844914197,338098398,3.77E-22,0,0s:338ms
Packomania -1/2 (760),760,2.845550808,343698221,3.88E-22,0,0s:343ms
Packomania -1/2 (770),770,2.849944089,358636407,4.11E-22,0,0s:358ms
Packomania -1/2 (780),780,2.850609412,353069908,4.39E-22,0,0s:353ms
Packomania -1/2 (790),790,2.855262866,361036410,4.26E-22,0,0s:361ms
Packomania -1/2 (800),800,2.857435145,376233510,4.00E-22,0,0s:376ms
Packomania -1/2 (810),810,2.859941889,376891264,4.23E-22,0,0s:376ms
Packomania -1/2 (820),820,2.857320625,385163003,4.15E-22,0,0s:385ms
Packomania -1/2 (830),830,2.860984951,409079521,4.59E-22,0,0s:409ms
Packomania -1/2 (840),840,2.860112703,413759861,4.51E-22,0,0s:413ms
Packomania -1/2 (850),850,2.862694927,416567161,4.51E-22,0,0s:416ms
Packomania -1/2 (860),860,2.863132699,425641385,4.75E-22,0,0s:425ms
Packomania -1/2 (870),870,2.868960657,433744947,4.55E-22,0,0s:433ms
Packomania -1/2 (880),880,2.870114393,442598795,4.54E-22,0,0s:442ms
Packomania -1/2 (890),890,2.87305095,445649762,4.40E-22,0,0s:445ms
Packomania -1/2 (900),900,2.87337812,446264430,4.70E-22,0,0s:446ms
Packomania -1/2 (910),910,2.875277429,465229287,4.44E-22,0,0s:465ms
Packomania -1/2 (920),920,2.879536576,489570343,4.77E-22,0,0s:489ms
Packomania -1/2 (930),930,2.881369234,498899084,5.09E-22,0,0s:498ms
Packomania -1/2 (940),940,2.883557379,499575903,4.66E-22,0,0s:499ms
Packomania -1/2 (950),950,2.882972473,509654976,4.64E-22,0,0s:509ms
Packomania -1/2 (960),960,2.885756137,525174423,4.77E-22,0,0s:525ms
Packomania -1/2 (970),970,2.888602413,517783209,4.75E-22,0,0s:517ms
Packomania -1/2 (980),980,2.890515572,512946334,4.58E-22,0,0s:512ms
Packomania -1/2 (990),990,2.892215641,546683424,4.68E-22,0,0s:546ms
Packomania -1/2 (1000),1000,2.893283783,538452305,4.51E-22,0,0s:538ms
Packomania -1/2 (1100),1100,2.908350125,617715057,5.10E-22,0,0s:617ms
Packomania -1/2 (1200),1200,2.923408029,716112784,5.19E-22,0,0s:716ms
Packomania -1/2 (1300),1300,2.936039285,833575398,6.21E-22,0,0s:833ms
Packomania -1/2 (1400),1400,2.943533134,946125854,6.57E-22,0,0s:946ms
Packomania -1/2 (1500),1500,2.953979594,1078097234,6.30E-22,0,1s:78ms
Packomania -1/2 (1600),1600,2.966069401,1154744934,6.77E-22,0,1s:154ms
Packomania -1/2 (1700),1700,2.976648708,1304597581,7.33E-22,0,1s:304ms
Packomania -1/2 (1800),1800,2.985482798,1429589467,7.81E-22,0,1s:429ms
Packomania -1/2 (1900),1900,2.995659982,1572739687,8.14E-22,0,1s:572ms
Packomania -1/2 (2000),2000,3.000845426,1698298208,8.10E-22,0,1s:698ms
Packomania -1/2 (3000),3000,3.065430097,3288349169,1.07E-21,0,3s:288ms
Packomania -1/2 (4000),4000,3.111816155,5248642984,1.39E-21,0,5s:248ms
Packomania -1/2 (5000),5000,3.145865417,7509309455,1.62E-21,0,7s:509ms
Packomania -1/2 (6000),6000,3.173380049,10094226248,1.90E-21,0,10s:94ms
Packomania -1/2 (7000),7000,3.19748614,12814522611,2.11E-21,0,12s:814ms
Packomania -1/2 (8000),8000,3.217527155,15977226969,2.37E-21,0,15s:977ms
Packomania -1/2 (9000),9000,3.234875939,19132004598,2.63E-21,0,19s:132ms
Packomania -1/2 (10000),10000,3.251215521,22468263993,6.92E-06,0,22s:468ms
Packomania -1/2 (11000),11000,3.265715891,26522374909,3.19E-21,0,26s:522ms
Packomania -1/2 (12000),12000,3.278766989,30235452721,5.51E-17,0,30s:235ms
Packomania -1/2 (13000),13000,3.291515829,34392564073,3.49E-21,0,34s:392ms
Packomania -1/2 (14000),14000,3.301772515,39261289327,3.86E-21,0,39s:261ms
Packomania -2/3 (100),100,1.82226814,9017910,8.61E-23,0,0s:9ms
Packomania -2/3 (105),105,1.821895831,9962634,9.37E-23,0,0s:9ms
Packomania -2/3 (110),110,1.824816141,10812673,9.69E-23,0,0s:10ms
Packomania -2/3 (115),115,1.824816141,11371943,9.51E-23,0,0s:11ms
Packomania -2/3 (120),120,1.825327825,12675811,1.12E-22,0,0s:12ms
Packomania -2/3 (125),125,1.825862205,12628987,1.24E-22,0,0s:12ms
Packomania -2/3 (130),130,1.825862205,13892212,1.44E-22,0,0s:13ms
Packomania -2/3 (135),135,1.825718441,15696544,1.23E-22,0,0s:15ms
Packomania -2/3 (140),140,1.825718441,15557531,1.30E-22,0,0s:15ms
Packomania -2/3 (145),145,1.826230527,16938000,1.48E-22,0,0s:16ms
Packomania -2/3 (150),150,1.827730545,18383121,1.49E-22,0,0s:18ms
Packomania -2/3 (155),155,1.827730545,19983236,1.20E-22,0,0s:19ms
Packomania -2/3 (160),160,1.828726376,20053514,1.73E-22,0,0s:20ms
Packomania -2/3 (165),165,1.828726376,20896505,1.47E-22,0,0s:20ms
Packomania -2/3 (170),170,1.828810415,22552432,1.40E-22,0,0s:22ms
Packomania -2/3 (175),175,1.828810415,23938370,1.66E-22,0,0s:23ms
Packomania -2/3 (180),180,1.828810415,24248648,1.94E-22,0,0s:24ms
Packomania -2/3 (185),185,1.828810415,25910040,1.73E-22,0,0s:25ms
Packomania -2/3 (190),190,1.829160316,26697200,1.62E-22,0,0s:26ms
Packomania -2/3 (195),195,1.83251444,27848012,2.20E-22,0,0s:27ms
Packomania -2/3 (200),200,1.833104817,29853092,2.02E-22,0,0s:29ms
Packomania -2/3 (205),205,1.833227862,31120010,2.20E-22,0,0s:31ms
Packomania -2/3 (210),210,1.833908559,32607519,1.99E-22,0,0s:32ms
Packomania -2/3 (215),215,1.834524999,33354231,1.85E-22,0,0s:33ms
Packomania -2/3 (220),220,1.834559936,35325825,1.47E-22,0,0s:35ms
Packomania -2/3 (225),225,1.834559936,35465212,1.50E-22,0,0s:35ms
Packomania -2/3 (230),230,1.834886491,37642751,2.07E-22,0,0s:37ms
Packomania -2/3 (235),235,1.835731964,38996213,1.64E-22,0,0s:38ms
Packomania -2/3 (240),240,1.83577629,40900707,1.92E-22,0,0s:40ms
Packomania -2/3 (245),245,1.83577629,40781076,1.64E-22,0,0s:40ms
Packomania -2/3 (250),250,1.83577629,44135292,1.64E-22,0,0s:44ms
Packomania -2/3 (255),255,1.83577629,45738207,1.96E-22,0,0s:45ms
Packomania -2/3 (260),260,1.835992687,49638667,2.17E-22,0,0s:49ms
Packomania -2/3 (265),265,1.835992687,48608435,1.65E-22,0,0s:48ms
Packomania -2/3 (270),270,1.835992687,49671308,1.95E-22,0,0s:49ms
Packomania -2/3 (275),275,1.835992687,53413820,2.10E-22,0,0s:53ms
Packomania -2/3 (280),280,1.835992687,53431858,2.03E-22,0,0s:53ms
Packomania -2/3 (285),285,1.835992687,55095810,1.82E-22,0,0s:55ms
Packomania -2/3 (290),290,1.835992687,57409323,2.75E-22,0,0s:57ms
Packomania -2/3 (295),295,1.836167902,58958007,2.23E-22,0,0s:58ms
Packomania -2/3 (300),300,1.837930191,59698717,2.02E-22,0,0s:59ms
Packomania -2/3 (305),305,1.837930191,61062021,2.61E-22,0,0s:61ms
Packomania -2/3 (310),310,1.837930191,62787788,2.02E-22,0,0s:62ms
Packomania -2/3 (315),315,1.837930191,65556020,2.46E-22,0,0s:65ms
Packomania -2/3 (320),320,1.838420806,66193546,1.96E-22,0,0s:66ms
Packomania -2/3 (325),325,1.841155368,67835291,2.55E-22,0,0s:67ms
Packomania -2/3 (330),330,1.841856774,71625471,2.01E-22,0,0s:71ms
Packomania -2/3 (335),335,1.84301761,80410545,2.08E-22,0,0s:80ms
Packomania -2/3 (340),340,1.843659136,82822690,2.45E-22,0,0s:82ms
Packomania -2/3 (345),345,1.844386154,79821607,2.68E-22,0,0s:79ms
Packomania -2/3 (350),350,1.845135558,82441927,1.92E-22,0,0s:82ms
Packomania -2/3 (355),355,1.845135558,84478624,2.79E-22,0,0s:84ms
Packomania -2/3 (360),360,1.845522702,90460155,2.58E-22,0,0s:90ms
Packomania -2/3 (365),365,1.845522702,94828657,2.79E-22,0,0s:94ms
Packomania -2/3 (370),370,1.845522702,95959905,3.10E-22,0,0s:95ms
Packomania -2/3 (375),375,1.845522702,91770303,2.56E-22,0,0s:91ms
Packomania -2/3 (380),380,1.845522702,98815436,3.74E-22,0,0s:98ms
Packomania -2/3 (385),385,1.845522702,97502548,2.67E-22,0,0s:97ms
Packomania -2/3 (390),390,1.845522702,101721287,2.81E-22,0,0s:101ms
Packomania -2/3 (395),395,1.845522702,108526947,2.61E-22,0,0s:108ms
Packomania -2/3 (400),400,1.845522702,103460679,2.83E-22,0,0s:103ms
Packomania -2/3 (405),405,1.845522702,105078921,3.25E-22,0,0s:105ms
Packomania -2/3 (410),410,1.845477317,110746422,2.44E-22,0,0s:110ms
Packomania -2/3 (415),415,1.845477317,110631027,3.17E-22,0,0s:110ms
Packomania -2/3 (420),420,1.845477317,113305457,2.94E-22,0,0s:113ms
Packomania -2/3 (425),425,1.845571739,112796644,2.74E-22,0,0s:112ms
Packomania -2/3 (430),430,1.845776653,114164414,2.31E-22,0,0s:114ms
Packomania -2/3 (435),435,1.845776653,121071293,3.02E-22,0,0s:121ms
Packomania -2/3 (440),440,1.846677122,127205158,3.23E-22,0,0s:127ms
Packomania -2/3 (445),445,1.847106722,126035652,3.11E-22,0,0s:126ms
Packomania -2/3 (450),450,1.847130275,128247505,2.08E-22,0,0s:128ms
Packomania -2/3 (455),455,1.847130275,126168398,3.00E-22,0,0s:126ms
Packomania -2/3 (460),460,1.84714934,132543510,3.03E-22,0,0s:132ms
Packomania -2/3 (465),465,1.84714934,134490602,3.28E-22,0,0s:134ms
Packomania -2/3 (470),470,1.847193658,136040919,3.11E-22,0,0s:136ms
Packomania -2/3 (475),475,1.847193658,139823034,2.91E-22,0,0s:139ms
Packomania -2/3 (480),480,1.84783147,142858416,3.14E-22,0,0s:142ms
Packomania -2/3 (485),485,1.847870184,148354732,2.78E-22,0,0s:148ms
Packomania -2/3 (490),490,1.84814756,149151329,3.30E-22,0,0s:149ms
Packomania -2/3 (495),495,1.848440849,154915504,2.37E-22,0,0s:154ms
Packomania -2/3 (500),500,1.848499189,157559976,3.57E-22,0,0s:157ms
Packomania -2/3 (510),510,1.848561378,160940807,2.66E-22,0,0s:160ms
Packomania -2/3 (520),520,1.848641387,166244508,3.04E-22,0,0s:166ms
Packomania -2/3 (530),530,1.848770181,172413815,2.98E-22,0,0s:172ms
Packomania -2/3 (540),540,1.849197826,179567268,2.92E-22,0,0s:179ms
Packomania -2/3 (550),550,1.849160637,186702988,3.81E-22,0,0s:186ms
Packomania -2/3 (560),560,1.849171014,184951853,3.52E-22,0,0s:184ms
Packomania -2/3 (570),570,1.849148925,195246653,3.50E-22,0,0s:195ms
Packomania -2/3 (580),580,1.849308336,194049099,2.63E-22,0,0s:194ms
Packomania -2/3 (590),590,1.849308336,203655532,3.04E-22,0,0s:203ms
Packomania -2/3 (600),600,1.849308336,207218391,2.84E-22,0,0s:207ms
Packomania -2/3 (610),610,1.849314849,221095328,3.07E-22,0,0s:221ms
Packomania -2/3 (620),620,1.849759282,228974388,3.29E-22,0,0s:228ms
Packomania -2/3 (630),630,1.84989429,235437472,3.82E-22,0,0s:235ms
Packomania -2/3 (640),640,1.850348869,241747808,3.80E-22,0,0s:241ms
Packomania -2/3 (650),650,1.850508963,253464181,3.95E-22,0,0s:253ms
Packomania -2/3 (660),660,1.850763003,261648148,3.69E-22,0,0s:261ms
Packomania -2/3 (670),670,1.850780558,265583105,3.48E-22,0,0s:265ms
Packomania -2/3 (680),680,1.851342239,265420709,4.19E-22,0,0s:265ms
Packomania -2/3 (690),690,1.851629743,275284941,3.47E-22,0,0s:275ms
Packomania -2/3 (700),700,1.852346505,282391831,3.52E-22,0,0s:282ms
Packomania -2/3 (710),710,1.853037889,302069850,6.38E-22,0,0s:302ms
Packomania -2/3 (720),720,1.853037889,292741493,3.94E-22,0,0s:292ms
Packomania -2/3 (730),730,1.853037889,307800089,3.46E-22,0,0s:307ms
Packomania -2/3 (740),740,1.853287584,302981328,3.71E-22,0,0s:302ms
Packomania -2/3 (750),750,1.853287584,306866212,4.10E-22,0,0s:306ms
Packomania -2/3 (760),760,1.853959815,328936131,3.64E-22,0,0s:328ms
Packomania -2/3 (770),770,1.85393919,341782256,5.10E-22,0,0s:341ms
Packomania -2/3 (780),780,1.854219836,342075509,5.59E-22,0,0s:342ms
Packomania -2/3 (790),790,1.854506548,368516168,3.79E-22,0,0s:368ms
Packomania -2/3 (800),800,1.854506548,361201895,4.01E-22,0,0s:361ms
Packomania -2/3 (810),810,1.854686269,375215644,4.65E-22,0,0s:375ms
Packomania -2/3 (820),820,1.854686269,396045185,3.48E-22,0,0s:396ms
Packomania -2/3 (830),830,1.854686269,402323870,4.86E-22,0,0s:402ms
Packomania -2/3 (840),840,1.854686269,396490255,5.88E-22,0,0s:396ms
Packomania -2/3 (850),850,1.854686269,398950117,4.15E-22,0,0s:398ms
Packomania -2/3 (860),860,1.854611963,422236372,4.32E-22,0,0s:422ms
Packomania -2/3 (870),870,1.854611963,417948483,5.82E-22,0,0s:417ms
Packomania -2/3 (880),880,1.854737721,434177756,5.05E-22,0,0s:434ms
Packomania -2/3 (890),890,1.854737721,439137247,4.92E-22,0,0s:439ms
Packomania -2/3 (900),900,1.854812363,447457845,5.23E-22,0,0s:447ms
Packomania -2/3 (910),910,1.855069137,452304159,6.41E-22,0,0s:452ms
Packomania -2/3 (920),920,1.855163275,460735268,7.86E-22,0,0s:460ms
Packomania -2/3 (930),930,1.855371365,473261505,5.73E-22,0,0s:473ms
Packomania -2/3 (940),940,1.855455343,490171613,4.71E-22,0,0s:490ms
Packomania -2/3 (950),950,1.855552924,511045972,7.13E-22,0,0s:511ms
Packomania -2/3 (960),960,1.855568468,507252565,6.00E-22,0,0s:507ms
Packomania -2/3 (970),970,1.85587006,506591692,6.91E-22,0,0s:506ms
Packomania -2/3 (980),980,1.856098106,514266137,5.84E-22,0,0s:514ms
Packomania -2/3 (990),990,1.856466117,533172612,4.44E-22,0,0s:533ms
Packomania -2/3 (1000),1000,1.856466117,539233126,5.37E-22,0,0s:539ms
Packomania -2/3 (1100),1100,1.858198724,635129062,4.73E-22,0,0s:635ms
Packomania -2/3 (1200),1200,1.859175544,748956647,4.16E-22,0,0s:748ms
Packomania -2/3 (1300),1300,1.859678713,848340525,1.11E-21,0,0s:848ms
Packomania -2/3 (1400),1400,1.860597082,942870528,8.41E-22,0,0s:942ms
Packomania -2/3 (1500),1500,1.86111262,1088656321,9.23E-22,0,1s:88ms
Packomania -2/3 (1600),1600,1.861617779,1229537923,7.82E-22,0,1s:229ms
Packomania -2/3 (1700),1700,1.862434075,1364091119,1.02E-21,0,1s:364ms
Packomania -2/3 (1800),1800,1.862989167,1544614583,9.70E-22,0,1s:544ms
Packomania -2/3 (1900),1900,1.863786306,1668050963,1.29E-21,0,1s:668ms
Packomania -2/3 (2000),2000,1.864143827,1833872766,8.76E-22,0,1s:833ms
Packomania -2/3 (3000),3000,1.868063495,3677674924,1.29E-21,0,3s:677ms
Packomania -2/3 (4000),4000,1.870522828,6232836251,2.51E-21,0,6s:232ms
Packomania -2/3 (5000),5000,1.872601012,9237644692,3.12E-21,0,9s:237ms
Packomania -2/3 (6000),6000,1.873700703,12617190381,3.46E-21,0,12s:617ms
Packomania -2/3 (7000),7000,1.874811381,16713004612,4.58E-21,0,16s:713ms
Packomania -2/3 (8000),8000,1.875973551,21538947887,4.03E-21,0,21s:538ms
Packomania -2/3 (9000),9000,1.87660983,25726410431,6.46E-21,0,25s:726ms
Packomania -2/3 (10000),10000,1.87406634,31536675557,0.03735698644,0,31s:536ms
Packomania -2/3 (11000),11000,1.875967596,37846122992,0.03611959323,0,37s:846ms
Packomania -2/3 (12000),12000,1.876456183,44796935952,0.03611959323,0,44s:796ms
Packomania -2/3 (13000),13000,1.87685631,50342910151,0.03611959323,0,50s:342ms
Packomania -2/3 (14000),14000,1.877341355,57698501764,0.03611959323,0,57s:698ms
Packomania -1/5 (100),100,5.801088535,9020495,3.60E-22,0,0s:9ms
Packomania -1/5 (105),105,5.906421827,10356044,2.85E-22,0,0s:10ms
Packomania -1/5 (110),110,5.995914353,10448365,4.14E-22,0,0s:10ms
Packomania -1/5 (115),115,6.115605167,11169692,5.07E-22,0,0s:11ms
Packomania -1/5 (120),120,6.153533024,12510683,3.83E-22,0,0s:12ms
Packomania -1/5 (125),125,6.20117852,12645110,5.23E-22,0,0s:12ms
Packomania -1/5 (130),130,6.295479149,13686576,5.21E-22,0,0s:13ms
Packomania -1/5 (135),135,6.3639635,14686876,5.68E-22,0,0s:14ms
Packomania -1/5 (140),140,6.50517303,15435488,6.50E-22,0,0s:15ms
Packomania -1/5 (145),145,6.54229426,16353080,5.75E-22,0,0s:16ms
Packomania -1/5 (150),150,6.581952817,16505183,5.65E-22,0,0s:16ms
Packomania -1/5 (155),155,6.615714194,17443519,6.55E-22,0,0s:17ms
Packomania -1/5 (160),160,6.665800719,19276476,4.89E-22,0,0s:19ms
Packomania -1/5 (165),165,6.766744304,19810848,5.26E-22,0,0s:19ms
Packomania -1/5 (170),170,6.796806159,20967743,5.99E-22,0,0s:20ms
Packomania -1/5 (175),175,6.841129949,21720483,5.98E-22,0,0s:21ms
Packomania -1/5 (180),180,6.896334944,23452187,6.66E-22,0,0s:23ms
Packomania -1/5 (185),185,6.990576166,24308388,6.98E-22,0,0s:24ms
Packomania -1/5 (190),190,7.028103475,24932270,7.52E-22,0,0s:24ms
Packomania -1/5 (195),195,7.105618302,26490576,8.33E-22,0,0s:26ms
Packomania -1/5 (200),200,7.168918374,26922350,7.04E-22,0,0s:26ms
Packomania -1/5 (205),205,7.190654864,28988885,7.28E-22,0,0s:28ms
Packomania -1/5 (210),210,7.263381507,29124914,8.16E-22,0,0s:29ms
Packomania -1/5 (215),215,7.263381507,30082504,8.59E-22,0,0s:30ms
Packomania -1/5 (220),220,7.305696186,32154877,8.38E-22,0,0s:32ms
Packomania -1/5 (225),225,7.38909237,32697903,7.79E-22,0,0s:32ms
Packomania -1/5 (230),230,7.414570796,34230239,8.19E-22,0,0s:34ms
Packomania -1/5 (235),235,7.480082421,33959598,7.15E-22,0,0s:33ms
Packomania -1/5 (240),240,7.507607663,35330076,9.12E-22,0,0s:35ms
Packomania -1/5 (245),245,7.562472715,36657820,8.84E-22,0,0s:36ms
Packomania -1/5 (250),250,7.615966355,37904056,9.07E-22,0,0s:37ms
Packomania -1/5 (255),255,7.686969396,38640009,7.63E-22,0,0s:38ms
Packomania -1/5 (260),260,7.746501803,40665015,9.53E-22,0,0s:40ms
Packomania -1/5 (265),265,7.765768537,41324969,9.58E-22,0,0s:41ms
Packomania -1/5 (270),270,7.822279157,43009811,1.01E-21,0,0s:43ms
Packomania -1/5 (275),275,7.842711902,42884851,8.42E-22,0,0s:42ms
Packomania -1/5 (280),280,7.8748245,45255313,9.94E-22,0,0s:45ms
Packomania -1/5 (285),285,7.932125324,46413029,1.19E-21,0,0s:46ms
Packomania -1/5 (290),290,7.963766206,47313284,1.19E-21,0,0s:47ms
Packomania -1/5 (295),295,8.011172573,49125136,1.02E-21,0,0s:49ms
Packomania -1/5 (300),300,8.040770452,50381704,1.29E-21,0,0s:50ms
Packomania -1/5 (305),305,8.060170309,50596446,1.07E-21,0,0s:50ms
Packomania -1/5 (310),310,8.133910477,53513114,1.32E-21,0,0s:53ms
Packomania -1/5 (315),315,8.173306878,53409520,1.19E-21,0,0s:53ms
Packomania -1/5 (320),320,8.190514352,57759916,1.25E-21,0,0s:57ms
Packomania -1/5 (325),325,8.212825317,58636828,1.38E-21,0,0s:58ms
Packomania -1/5 (330),330,8.263609282,58859795,1.38E-21,0,0s:58ms
Packomania -1/5 (335),335,8.303668783,58536637,1.47E-21,0,0s:58ms
Packomania -1/5 (340),340,8.33131987,59670910,1.53E-21,0,0s:59ms
Packomania -1/5 (345),345,8.350400396,64744174,1.35E-21,0,0s:64ms
Packomania -1/5 (350),350,8.415538469,65363304,1.60E-21,0,0s:65ms
Packomania -1/5 (355),355,8.443424365,65424706,1.49E-21,0,0s:65ms
Packomania -1/5 (360),360,8.462215954,67769566,1.49E-21,0,0s:67ms
Packomania -1/5 (365),365,8.505699549,73453377,1.83E-21,0,0s:73ms
Packomania -1/5 (370),370,8.56218426,69299658,1.72E-21,0,0s:69ms
Packomania -1/5 (375),375,8.574310864,72159387,1.87E-21,0,0s:72ms
Packomania -1/5 (380),380,8.60809995,73145305,1.60E-21,0,0s:73ms
Packomania -1/5 (385),385,8.625056573,74390421,1.62E-21,0,0s:74ms
Packomania -1/5 (390),390,8.651987359,76851093,1.85E-21,0,0s:76ms
Packomania -1/5 (395),395,8.691089464,74527211,1.83E-21,0,0s:74ms
Packomania -1/5 (400),400,8.713739965,79281114,1.69E-21,0,0s:79ms
Packomania -1/5 (405),405,8.752689623,80648472,2.01E-21,0,0s:80ms
Packomania -1/5 (410),410,8.805372306,81706954,1.73E-21,0,0s:81ms
Packomania -1/5 (415),415,8.827771682,81465892,1.90E-21,0,0s:81ms
Packomania -1/5 (420),420,8.864800998,82202764,1.68E-21,0,0s:82ms
Packomania -1/5 (425),425,8.873738342,83653267,1.65E-21,0,0s:83ms
Packomania -1/5 (430),430,8.898115478,84535986,1.75E-21,0,0s:84ms
Packomania -1/5 (435),435,8.919067311,86314762,1.84E-21,0,0s:86ms
Packomania -1/5 (440),440,8.978912979,88966233,2.03E-21,0,0s:88ms
Packomania -1/5 (445),445,8.99521031,91974302,1.71E-21,0,0s:91ms
Packomania -1/5 (450),450,9.04953476,92199773,1.91E-21,0,0s:92ms
Packomania -1/5 (455),455,9.052864071,98130207,1.81E-21,0,0s:98ms
Packomania -1/5 (460),460,9.075093632,94490634,1.83E-21,0,0s:94ms
Packomania -1/5 (465),465,9.121324023,99557618,1.90E-21,0,0s:99ms
Packomania -1/5 (470),470,9.152865494,102093555,2.35E-21,0,0s:102ms
Packomania -1/5 (475),475,9.208314796,102491262,1.93E-21,0,0s:102ms
Packomania -1/5 (480),480,9.198241792,101796837,2.17E-21,0,0s:101ms
Packomania -1/5 (485),485,9.22357645,106464411,2.16E-21,0,0s:106ms
Packomania -1/5 (490),490,9.277792398,106180339,2.35E-21,0,0s:106ms
Packomania -1/5 (495),495,9.294590795,109234713,2.19E-21,0,0s:109ms
Packomania -1/5 (500),500,9.292278896,112425109,2.37E-21,0,0s:112ms
Packomania -1/5 (510),510,9.411117923,114239617,2.21E-21,0,0s:114ms
Packomania -1/5 (520),520,9.443792058,115151582,2.72E-21,0,0s:115ms
Packomania -1/5 (530),530,9.474651541,121681465,2.56E-21,0,0s:121ms
Packomania -1/5 (540),540,9.547355892,128705472,2.82E-21,0,0s:128ms
